code;name;asciiname;geonameid
NL.15.0150;Gemeente Deventer;Gemeente Deventer;2756986
NL.06.0762;Gemeente Deurne;Gemeente Deurne;2757008
NL.07.0400;Gemeente Den Helder;Gemeente Den Helder;2757219
NL.11.0503;Gemeente Delft;Gemeente Delft;2757344
NL.09.0310;Gemeente De Bilt;Gemeente De Bilt;2757782
NL.02.1891;Gemeente Dantumadiel;Gemeente Dantumadiel;2757834
NL.15.0148;Gemeente Dalfsen;Gemeente Dalfsen;2757849
NL.03.0216;Gemeente Culemborg;Gemeente Culemborg;2757871
NL.01.0109;Gemeente Coevorden;Gemeente Coevorden;2757936
NL.07.0383;Gemeente Castricum;Gemeente Castricum;2757990
NL.11.0502;Gemeente Capelle aan den IJssel;Gemeente Capelle aan den IJssel;2758011
NL.03.0214;Gemeente Buren;Gemeente Buren;2758095
NL.09.0313;Gemeente Bunschoten;Gemeente Bunschoten;2758103
NL.09.0312;Gemeente Bunnik;Gemeente Bunnik;2758105
NL.05.0899;Gemeente Brunssum;Gemeente Brunssum;2758173
NL.03.0213;Gemeente Brummen;Gemeente Brummen;2758176
NL.07.0852;Gemeente Waterland;Gemeente Waterland;2758257
NL.11.0501;Gemeente Brielle;Gemeente Brielle;2758325
NL.06.0758;Gemeente Breda;Gemeente Breda;2758400
NL.06.0757;Gemeente Boxtel;Gemeente Boxtel;2758459
NL.10.0654;Gemeente Borsele;Gemeente Borsele;2758588
NL.15.0147;Gemeente Borne;Gemeente Borne;2758597
NL.01.1681;Gemeente Borger-Odoorn;Gemeente Borger-Odoorn;2758619
NL.06.0755;Gemeente Boekel;Gemeente Boekel;2758757
NL.07.0377;Gemeente Bloemendaal;Gemeente Bloemendaal;2758802
NL.07.0376;Gemeente Blaricum;Gemeente Blaricum;2758867
NL.06.1728;Gemeente Bladel;Gemeente Bladel;2758877
NL.07.0375;Gemeente Beverwijk;Gemeente Beverwijk;2758997
NL.03.0209;Gemeente Beuningen;Gemeente Beuningen;2759014
NL.06.0753;Gemeente Best;Gemeente Best;2759039
NL.06.1724;Bergeijk;Bergeijk;2759131
NL.06.0748;Gemeente Bergen op Zoom;Gemeente Bergen op Zoom;2759144
NL.07.0373;Gemeente Bergen;Gemeente Bergen;2759151
NL.05.0893;Gemeente Bergen;Gemeente Bergen;2759152
NL.05.0889;Gemeente Beesel;Gemeente Beesel;2759285
NL.05.0888;Gemeente Beek;Gemeente Beek;2759343
NL.03.0203;Gemeente Barneveld;Gemeente Barneveld;2759406
NL.11.0489;Gemeente Barendrecht;Gemeente Barendrecht;2759425
NL.09.0308;Gemeente Baarn;Gemeente Baarn;2759543
NL.06.0744;Gemeente Baarle-Nassau;Gemeente Baarle-Nassau;2759553
NL.06.0743;Gemeente Asten;Gemeente Asten;2759619
NL.01.0106;Gemeente Assen;Gemeente Assen;2759632
NL.03.0202;Gemeente Arnhem;Gemeente Arnhem;2759660
NL.03.0200;Gemeente Apeldoorn;Gemeente Apeldoorn;2759705
NL.07.0363;Gemeente Amsterdam;Gemeente Amsterdam;2759793
NL.07.0362;Gemeente Amstelveen;Gemeente Amstelveen;2759797
NL.09.0307;Gemeente Amersfoort;Gemeente Amersfoort;2759820
NL.02.0060;Gemeente Ameland;Gemeente Ameland;2759844
NL.11.0484;Gemeente Alphen aan den Rijn;Gemeente Alphen aan den Rijn;2759874
NL.15.0141;Gemeente Almelo;Gemeente Almelo;2759886
NL.07.0361;Gemeente Alkmaar;Gemeente Alkmaar;2759898
NL.11.0482;Gemeente Alblasserdam;Gemeente Alblasserdam;2759914
NL.02.0059;Gemeente Achtkarspelen;Gemeente Achtkarspelen;2759982
NL.03.0197;Gemeente Aalten;Gemeente Aalten;2760122
NL.07.0358;Gemeente Aalsmeer;Gemeente Aalsmeer;2760133
NL.07.1696;Gemeente Wijdemeren;Gemeente Wijdemeren;3345301
NL.06.1709;Gemeente Moerdijk;Gemeente Moerdijk;6251995
NL.07.1598;Gemeente Koggenland;Gemeente Koggenland;6544220
NL.11.1926;Gemeente Pijnacker-Nootdorp;Gemeente Pijnacker-Nootdorp;6544221
NL.03.1509;Oude IJsselstreek;Oude IJsselstreek;6544222
NL.11.1884;Gemeente Kaag en Braassem;Gemeente Kaag en Braassem;6544223
NL.05.1729;Gulpen-Wittem;Gulpen-Wittem;6544225
NL.05.1640;Gemeente Leudal;Gemeente Leudal;6544226
NL.01.1690;Gemeente De Wolden;Gemeente De Wolden;6544227
NL.03.1586;Oost Gelre;Oost Gelre;6544228
NL.15.1742;Gemeente Rijssen-Holten;Gemeente Rijssen-Holten;6544230
NL.06.1771;Gemeente Geldrop-Mierlo;Gemeente Geldrop-Mierlo;6544232
NL.05.1507;Gemeente Horst aan de Maas;Gemeente Horst aan de Maas;6544233
NL.04.0765;Gemeente Pekela;Gemeente Pekela;6544234
NL.15.1708;Gemeente Steenwijkerland;Gemeente Steenwijkerland;6544235
NL.03.1705;Gemeente Lingewaard;Gemeente Lingewaard;6544236
NL.07.0532;Gemeente Stede Broec;Gemeente Stede Broec;6544238
NL.01.1701;Gemeente Westerveld;Gemeente Westerveld;6544239
NL.11.0613;Gemeente Albrandswaard;Gemeente Albrandswaard;6544242
NL.05.1641;Gemeente Maasgouw;Gemeente Maasgouw;6544244
NL.15.1700;Gemeente Twenterand;Gemeente Twenterand;6544245
NL.15.1773;Gemeente Olst-Wijhe;Gemeente Olst-Wijhe;6544248
NL.06.1723;Gemeente Alphen-Chaam;Gemeente Alphen-Chaam;6544249
NL.09.0736;Gemeente De Ronde Venen;Gemeente De Ronde Venen;6544250
NL.10.1676;Schouwen-Duiveland;Schouwen-Duiveland;6544251
NL.11.1916;Gemeente Leidschendam-Voorburg;Gemeente Leidschendam-Voorburg;6544252
NL.10.1695;Gemeente Noord-Beveland;Gemeente Noord-Beveland;6544253
NL.07.0498;Gemeente Drechterland;Gemeente Drechterland;6544254
NL.05.1883;Gemeente Sittard-Geleen;Gemeente Sittard-Geleen;6544255
NL.03.1955;Gemeente Montferland;Gemeente Montferland;6544256
NL.05.0882;Landgraaf;Landgraaf;6544258
NL.16.0034;Gemeente Almere;Gemeente Almere;6544259
NL.15.1896;Gemeente Zwartewaterland;Gemeente Zwartewaterland;6544260
NL.11.1783;Gemeente Westland;Gemeente Westland;6544261
NL.11.1842;Gemeente Midden-Delfland;Gemeente Midden-Delfland;6544262
NL.07.0880;Gemeente Wormerland;Gemeente Wormerland;6544263
NL.05.1669;Gemeente Roerdalen;Gemeente Roerdalen;6544264
NL.03.0668;Gemeente West Maas en Waal;Gemeente West Maas en Waal;6544265
NL.06.1659;Gemeente Laarbeek;Gemeente Laarbeek;6544266
NL.06.1721;Gemeente Bernheze;Gemeente Bernheze;6544268
NL.03.1740;Gemeente Neder-Betuwe;Gemeente Neder-Betuwe;6544269
NL.06.1655;Gemeente Halderberge;Gemeente Halderberge;6544271
NL.03.1734;Gemeente Overbetuwe;Gemeente Overbetuwe;6544276
NL.06.1658;Gemeente Heeze-Leende;Gemeente Heeze-Leende;6544277
NL.06.1652;Gemeente Gemert-Bakel;Gemeente Gemert-Bakel;6544279
NL.06.1667;Gemeente Reusel-De Mierden;Gemeente Reusel-De Mierden;6544280
NL.01.1730;Gemeente Tynaarlo;Gemeente Tynaarlo;6544282
NL.15.1774;Gemeente Dinkelland;Gemeente Dinkelland;6544285
NL.03.1859;Berkelland;Berkelland;6544286
NL.01.1699;Gemeente Noordenveld;Gemeente Noordenveld;6544287
NL.06.1706;Gemeente Cranendonck;Gemeente Cranendonck;6544288
NL.15.1735;Gemeente Hof van Twente;Gemeente Hof van Twente;6544289
NL.03.1876;Gemeente Bronckhorst;Gemeente Bronckhorst;6544290
NL.11.1621;Gemeente Lansingerland;Gemeente Lansingerland;6544291
NL.11.1525;Gemeente Teylingen;Gemeente Teylingen;6544293
NL.01.1680;Gemeente Aa en Hunze;Gemeente Aa en Hunze;6544296
NL.01.1731;Gemeente Midden-Drenthe;Gemeente Midden-Drenthe;6544297
NL.05.0994;Valkenburg aan de Geul;Valkenburg aan de Geul;6544299
NL.02.0737;Gemeente Tytsjerksteradiel;Gemeente Tytsjerksteradiel;6544304
NL.04.1895;Gemeente Oldambt;Gemeente  Oldambt;7535498
NL.11.1892;Gemeente Zuidplas;Gemeente Zuidplas;7535501
NL.05.1894;Gemeente Peel en Maas;Gemeente Peel en Maas;7535502
NL.05.1903;Eijsden-Margraten;Eijsden-Margraten;8260046
NL.09.1904;Stichtse Vecht;Stichtse Vecht;8260047
NL.02.1900;Sûdwest Fryslân;Sudwest Fryslan;8260049
NL.11.1901;Bodegraven-Reeuwijk;Bodegraven-Reeuwijk;8260050
NL.07.1911;Gemeente Hollands Kroon;Gemeente Hollands Kroon;8426240
NL.11.1924;Gemeente Goeree-Overflakkee;Gemeente Goeree-Overflakkee;8549513
NL.02.1940;De Fryske Marren;De Fryske Marren;10287303
NL.11.1931;Krimpenerwaard;Krimpenerwaard;10287316
NL.11.1930;Nissewaard;Nissewaard;10287324
NL.07.1942;Gooise Meren;Gooise Meren;11189015
NL.06.1948;Meierijstad;Meierijstad;11669500
NL.02.1949;Waadhoeke;Waadhoeke;12022123
NL.04.1950;Westerwolde;Westerwolde;12022124
NL.04.1952;Midden-Groningen;Midden-Groningen;12022125
NL.04.1966;Het Hogeland;Het Hogeland;12022126
NL.03.1960;West Betuwe;West Betuwe;12022127
NL.06.1959;Altena;Altena;12022128
NL.05.1954;Beekdaelen;Beekdaelen;12022129
NL.11.1978;Molenlanden;Molenlanden;12022130
NL.02.1970;Noardeast-Fryslân;Noardeast-Fryslan;12022131
NL.04.1979;Eemsdelta;Eemsdelta;12253550
NL.06.1982;Land van Cuijk;Land van Cuijk;12494993
NL.06.1991;Maashorst;Maashorst;12494996
NL.07.1980;Dijk en Waard;Dijk en Waard;12494997
