alternateNameId,geonameid,isolanguage,alternate name,isPreferredName,isShortName,isColloquial,isHistoric,from,to,name_type
2954949,2743992,link,https://en.wikipedia.org/wiki/Zegge,,,,,,,
13438182,2743992,post,4735,,,,,,,
13790744,2743992,unlc,NLZEG,,,,,,,
15244236,2743992,wkdt,Q3280467,,,,,,,
1244195,2744005,,Zeelstsche Heide,,,,,,,
4123823,2744005,,Zeelstse Heide,,,,,,,
2954952,2744006,link,https://en.wikipedia.org/wiki/Zeelst,,,,,,,
1244196,2744008,,Zeelburg,,,,,,,
7198823,2744014,link,https://en.wikipedia.org/wiki/Zeeland%2C_North_Brabant,,,,,,,
8552846,2744014,link,https://nl.wikipedia.org/wiki/Zeeland_(Noord-Brabant),,,,,,,
8552847,2744014,nl,Zélland,,,1,,,,
8552849,2744014,nl,Zelant,,,,1,,,
8552850,2744014,nl,Selant,,,,1,,,
8552851,2744014,nl,Seelandt,,,,1,,,
8552852,2744014,nl,Op-Zeeland,,,,1,,,
8552853,2744014,nl,Zeeland,1,,,,,,
13438193,2744014,post,5411,,,,,,,
13790759,2744014,unlc,NLZLA,,,,,,,
7174748,2744060,link,https://en.wikipedia.org/wiki/Zandoerle,,,,,,,
14939865,2744060,wkdt,Q1861662,,,,,,,
18212001,2744060,zh-Hant,贊多爾,,,,,,,
18212002,2744060,en,Zandoerle,,,,,,,
18212003,2744060,,Zandoerle,,,,,,,
18212004,2744060,fr,Zandoerle,,,,,,,
18212005,2744060,nl,Zandoerle,,,,,,,
18212006,2744060,zh,赞多尔,,,,,,,
1244201,2744073,,De Zandhoek,,,,,,,
1244203,2744087,,Zandbosch,,,,,,,
4123828,2744087,,Zandbos,,,,,,,
8093762,2744093,link,https://en.wikipedia.org/wiki/Zandberg%2C_North_Brabant,,,,,,,
15086072,2744099,wkdt,Q31210170,,,,,,,
15926127,2744099,,Zandberg,,,,,,,
15216356,2744100,wkdt,Q2799996,,,,,,,
8087870,2744111,link,https://en.wikipedia.org/wiki/Zaarvlaas,,,,,,,
14939068,2744111,wkdt,Q2861403,,,,,,,
1244214,2744140,,Wouwse-Plantage,,,,,,,
13438219,2744140,post,4725,,,,,,,
13790658,2744140,unlc,NLWPL,,,,,,,
15878119,2744140,wkdt,Q3570075,,,,,,,
1244215,2744141,,Wouwse Plantage,,,,,,,
1244216,2744142,,Wouwsche-Hill,,,,,,,
1244217,2744142,,Wouwse Hil,,,,,,,
2954973,2744145,link,https://en.wikipedia.org/wiki/Wouw,,,,,,,
13438220,2744145,post,4724,,,,,,,
13790656,2744145,unlc,NLWOU,,,,,,,
15756065,2744145,wkdt,Q955118,,,,,,,
7319308,2744155,,Gemeente Woudrichem,,,,,,,
8490423,2744155,,Woudrichem,,,,,,,
10840853,2744155,nl,Woudrichem,,1,,,,,
1951868,2744156,en,Woudrichem,,,,,,,
1951869,2744156,fr,Woudrichem,,,,,,,
1951870,2744156,id,Woudrichem,,,,,,,
1951871,2744156,it,Woudrichem,,,,,,,
1951872,2744156,li,Woudrichem,,,,,,,
1951873,2744156,nl,Woudrichem,,,,,,,
1951874,2744156,sv,Woudrichem,,,,,,,
2027861,2744156,de,Woudrichem,,,,,,,
2954975,2744156,link,https://en.wikipedia.org/wiki/Woudrichem,,,,,,,
11414191,2744156,ar,فاودريخيم,,,,,,,
11414192,2744156,hy,Վաուդրիխեմ,,,,,,,
11414193,2744156,zh,沃德里赫姆,,,,,,,
13438223,2744156,post,4285,,,,,,,Preferred name
13790585,2744156,unlc,NLWCM,,,,,,,
14939602,2744156,wkdt,Q2303485,,,,,,,
17346529,2744156,nl,Woerkum,,,1,,,,
2954989,2744251,link,https://en.wikipedia.org/wiki/Woensel,,,,,,,
2801902,2744256,,Woensdrecht,,,,,,,
4123847,2744256,,Gemeente Woensdrecht,,,,,,,
8612832,2744256,link,https://en.wikipedia.org/wiki/Woensdrecht,,,,,,,
10840852,2744256,nl,Woensdrecht,,1,,,,,
1947086,2744257,en,Woensdrecht,,,,,,,
1947087,2744257,fr,Woensdrecht,,,,,,,
1947088,2744257,de,Woensdrecht,,,,,,,
1947089,2744257,id,Woensdrecht,,,,,,,
1947090,2744257,it,Woensdrecht,,,,,,,
1947091,2744257,li,Woensdrecht,,,,,,,
1947092,2744257,nl,Woensdrecht,,,,,,,
1947093,2744257,sv,Woensdrecht,,,,,,,
2954990,2744257,link,https://en.wikipedia.org/wiki/Woensdrecht,,,,,,,
3041464,2744257,ru,Вонсдрехт,,,,,,,
13438254,2744257,post,4634,,,,,,,
13790652,2744257,unlc,NLWOE,,,,,,,
14939458,2744257,wkdt,Q8029038,,,,,,,
14939335,2744297,wkdt,Q31210202,,,,,,,Preferred name
15926129,2744297,,Witte Bergen,,,,,,,
1244249,2744301,,Wilreit,,,,,,,
1244250,2744306,,Withollandsveen,,,,,,,Preferred name
4123850,2744306,,Wit Holland,,,,,,,Short name
7131795,2744333,link,https://en.wikipedia.org/wiki/Wintelre,,,,,,,Preferred name
13438268,2744333,post,5513,,,,,,,
13790683,2744333,unlc,NLWTR,,,,,,,
15432909,2744333,wkdt,Q550320,,,,,,,
2955012,2744388,link,https://en.wikipedia.org/wiki/Willemstad%2C_North_Brabant,,,,,,,
13438284,2744388,post,4797,,,,,,,
13790628,2744388,unlc,NLWIS,,,,,,,
1244267,2744408,,Willibrordushoek,,,,,,,
14993255,2744432,wkdt,Q2295095,,,,,,,
8552813,2744446,nl,Peeldorp,,,,1,,,
8552815,2744446,link,https://nl.wikipedia.org/wiki/Wilbertoord,,,,,,,
13438289,2744446,post,5455,,,,,,,
13790650,2744446,unlc,NLWOB,,,,,,,
15891954,2744446,wkdt,Q2469932,,,,,,,
1244295,2744516,,'t Wijbosch,,,,,,,
1244296,2744516,,Weibosch,,,,,,,
15909428,2744516,wkdt,Q2270570,,,,,,,
1244307,2744557,,De Wielschehoeven,,,,,,,
1244308,2744557,,Wielsche Hoeven,,,,,,,
1244340,2744729,,Westerhovensche Heide,,,,,,,
4123888,2744729,,Westerhovense Bos,,,,,,,
2955052,2744731,link,https://en.wikipedia.org/wiki/Westerhoven,,,,,,,
13438342,2744731,post,5563,,,,,,,
13790615,2744731,unlc,NLWHN,,,,,,,
15307229,2744731,wkdt,Q985873,,,,,,,
13438349,2744771,post,5843,,,,,,,
14939125,2744771,wkdt,Q646467,,,,,,,
8554742,2744822,link,https://nl.wikipedia.org/wiki/Werveld,,,,,,,
13438358,2744824,post,4884,,,,,,,
13790617,2744824,unlc,NLWHT,,,,,,,
8490437,2744826,,Gemeente Werkendam,,,,,,,
8490438,2744826,,Werkendam,,,,,,,
8612834,2744826,link,https://en.wikipedia.org/wiki/Werkendam,,,,,,,
10840851,2744826,nl,Werkendam,,1,,,,,
1933604,2744827,en,Werkendam,,,,,,,
1933605,2744827,de,Werkendam,,,,,,,
1933606,2744827,fr,Werkendam,,,,,,,
1933607,2744827,id,Werkendam,,,,,,,
1933608,2744827,it,Werkendam,,,,,,,
1933609,2744827,li,Werkendam,,,,,,,
1933610,2744827,nl,Werkendam,,,,,,,
1933611,2744827,sv,Werkendam,,,,,,,
2955065,2744827,link,https://en.wikipedia.org/wiki/Werkendam,,,,,,,
3041468,2744827,ru,Веркендам,,,,,,,
13438360,2744827,post,4251,,,,,,,
13790634,2744827,unlc,NLWKD,,,,,,,
15905937,2744827,wkdt,Q2682753,,,,,,,
1244371,2744861,,Wellenseindsche Heide,,,,,,,
4123900,2744861,,Wellenseindse Heide,,,,,,,
15832671,2744881,wkdt,Q5499096,,,,,,,
1244394,2744938,,'t Wijbosch,,,,,,,
13790657,2744992,unlc,NLWPI,,,,,,,
2955094,2744994,link,https://en.wikipedia.org/wiki/Waspik,,,,,,,
13438398,2744994,post,5165,,,,,,,
1244413,2745044,,Wanrooise Peel,,,,,,,
1244414,2745044,,Wanroijsche Peel,,,,,,,
4123918,2745044,,Wanroijse Peel,,,,,,,
1244415,2745046,,Wanrooi,,,,,,,
1244416,2745046,,Wanroy,,,,,,,
1244417,2745046,,Wanrooy,,,,,,,
2955104,2745046,link,https://en.wikipedia.org/wiki/Wanroij,,,,,,,
13438418,2745046,post,5446,,,,,,,
13790573,2745046,unlc,NLWAJ,,,,,,,
1244419,2745050,,Het Wandelbosch,,,,,,,
4123919,2745050,,Wandelbos,,,,,,,
15874072,2745068,wkdt,Q2539667,,,,,,,
18183793,2745068,link,https://en.wikipedia.org/wiki/Walik,,,,,,,
13438434,2745091,post,4845,,,,,,,
13790572,2745091,unlc,NLWAG,,,,,,,
15808194,2745091,wkdt,Q648178,,,,,,,
13438443,2745111,post,4287,,,,,,,
4123929,2745122,,Gemeente Waalwijk,,,,,,,
4123930,2745122,,Waalwijk,,,,,,,
8612837,2745122,link,https://en.wikipedia.org/wiki/Waalwijk,,,,,,,
10840850,2745122,nl,Waalwijk,,1,,,,,
1915459,2745123,en,Waalwijk,,,,,,,Preferred name
1915460,2745123,de,Waalwijk,,,,,,,
1915461,2745123,fr,Waalwijk,,,,,,,
1915462,2745123,da,Waalwijk,,,,,,,
1915463,2745123,id,Waalwijk,,,,,,,
1915464,2745123,it,Waalwijk,,,,,,,
1915465,2745123,li,Waalwijk,,,,,,,
1915466,2745123,nl,Waalwijk,,,,,,,
1915467,2745123,ro,Waalwijk,,,,,,,Preferred name
1915468,2745123,sv,Waalwijk,,,,,,,
2955120,2745123,link,https://en.wikipedia.org/wiki/Waalwijk,,,,,,,
13438447,2745123,post,5141,,,,,,,
13438448,2745123,post,5142,,,,,,,
13438449,2745123,post,5143,,,,,,,
13438450,2745123,post,5144,,,,,,,
13438451,2745123,post,5145,,,,,,,
13438452,2745123,post,5146,,,,,,,
13790640,2745123,unlc,NLWLK,,,,,,,
15896108,2745123,wkdt,Q9879,,,,,,,
8490443,2745126,,Gemeente Waalre,,,,,,,
8490444,2745126,,Waalre,,,,,,,
8612838,2745126,link,https://en.wikipedia.org/wiki/Waalre,,,,,,,
10840849,2745126,nl,Waalre,,1,,,,,
1952791,2745127,en,Waalre,,,,,,,
1952792,2745127,fr,Waalre,,,,,,,
1952793,2745127,id,Waalre,,,,,,,
1952794,2745127,it,Waalre,,,,,,,
1952795,2745127,li,Waalre,,,,,,,
1952796,2745127,nl,Waalre,,,,,,,
1952797,2745127,sv,Waalre,,,,,,,
2020162,2745127,de,Waalre,,,,,,,
2955121,2745127,link,https://en.wikipedia.org/wiki/Waalre,,,,,,,
13438453,2745127,post,5581,,,,,,,
13438454,2745127,post,5582,,,,,,,Preferred name
13438455,2745127,post,5583,,,,,,,
13790569,2745127,unlc,NLWAA,,,,,,,
15615894,2745127,wkdt,Q33512784,,,,,,,
1244445,2745135,,Waaienberg,,,,,,,
4123933,2745135,,Waaijenberg,,,,,,,
1244450,2745151,,Vuchtse Hoeven,,,,,,,
4123935,2745151,,Vughtsche Hoeven,,,,,,,
1244451,2745152,,Vughtseheide,,,,,,,
1244452,2745152,,Vuchtse Heide,,,,,,,
8490445,2745153,,Gemeente Vught,,,,,,,
8490446,2745153,,Vught,,,,,,,
8555559,2745153,link,https://nl.wikipedia.org/wiki/Vught_(gemeente),,,,,,,
10840848,2745153,nl,Vught,,1,,,,,
5703168,2745154,link,https://en.wikipedia.org/wiki/Vught,,,,,,,
8555560,2745154,link,https://nl.wikipedia.org/wiki/Vught_(plaats),,,,,,,
9450840,2745154,hy,Վուխտ,,,,,,,
9450841,2745154,ru,Вюгт,,,,,,,
11386328,2745154,ar,فوخت,,,,,,,
13438457,2745154,post,5261,,,,,,,
13438458,2745154,post,5262,,,,,,,
13438459,2745154,post,5263,,,,,,,
13438460,2745154,post,5264,,,,,,,
13790515,2745154,unlc,NLVGT,,,,,,,
15860121,2745154,wkdt,Q12013510,,,,,,,
19467541,2745154,nl,Vught,1,,,,,,
19467542,2745154,en,Vught,1,,,,,,
1244458,2745170,,Vroolijke Jager,,,,,,,
4123936,2745170,,Vrolijke Jager,,,,,,,
1244459,2745176,,Vrijhoeve Kapelle,,,,,,,
1244460,2745176,,Vrijhoeven Kapelle,,,,,,,
2955127,2745176,link,https://en.wikipedia.org/wiki/Vrijhoeve-Capelle,,,,,,,
1244465,2745191,,Vresselsche Bosch,,,,,,,
4123939,2745191,,Vresselsebos,,,,,,,
15888856,2745192,wkdt,Q20972038,,,,,,,
1244466,2745194,,Vreekwijk,,,,,,,
1244467,2745194,,Vrekwijk,,,,,,,
1244470,2745214,,Vrachelsche Heide,,,,,,,
4123941,2745214,,Vrachelse Heide,,,,,,,
1244471,2745215,,Vraggelen,,,,,,,
1244476,2745250,,Mullem,,,,,,,
1244477,2745250,,Vortum,,,,,,,
1244478,2745250,,Mullum,,,,,,,
8554714,2745250,link,https://nl.wikipedia.org/wiki/Vortum-Mullem,,,,,,,
8554716,2745250,nl,Vorthum,,,,1,,,
11262445,2745250,nl,Vortum-Mullem,1,,,,,,Short name
13438473,2745250,post,5827,,,,,,,
2955133,2745252,link,https://en.wikipedia.org/wiki/Vorstenbosch,,,,,,,
13438474,2745252,post,5476,,,,,,,
15737205,2745252,wkdt,Q287904,,,,,,,
1244479,2745255,,Vorenseind,,,,,,,
15874008,2745316,wkdt,Q2268751,,,,,,,
13438494,2745338,post,5408,,,,,,,
13790531,2745338,unlc,NLVLE,,,,,,,
15908012,2745338,wkdt,Q2239883,,,,,,,
1244492,2745362,,Vogelgezang,,,,,,,
4123949,2745362,,Vogelenzang,,,,,,,
8552867,2745370,link,https://nl.wikipedia.org/wiki/Voederheil,,,,,,,
1244494,2745374,,Vloed,,,,,,,
2955150,2745396,link,https://en.wikipedia.org/wiki/Vlijmen,,,,,,,
13438509,2745396,post,5251,,,,,,,
13438510,2745396,post,5252,,,,,,,
13790535,2745396,unlc,NLVLM,,,,,,,
14939516,2745396,wkdt,Q1983269,,,,,,,
2955152,2745414,link,https://en.wikipedia.org/wiki/Vlierden,,,,,,,
13438511,2745414,post,5756,,,,,,,
15260908,2745414,wkdt,Q2464477,,,,,,,
15085150,2745426,wkdt,Q31210252,,,,,,,
15926138,2745426,,Vliegenberg,,,,,,,
1244505,2745435,,Vlei,,,,,,,
4123958,2745435,,Vleij,,,,,,,
1244506,2745437,,Vleeschbroek,,,,,,,
4123959,2745437,,Vleesbroek,,,,,,,
1244517,2745478,,Zuidergat van de Visschen,,,,,,,
4123962,2745478,,Zuidergat van de Vissen,,,,,,,
1244518,2745479,,Noordergat van de Visschen,,,,,,,
4123963,2745479,,Noordergat van de Vissen,,,,,,,
15821835,2745502,wkdt,Q2463147,,,,,,,
13438530,2745503,post,5381,,,,,,,
13438531,2745503,post,5382,,,,,,,
13438532,2745503,post,5383,,,,,,,
13790527,2745503,unlc,NLVKL,,,,,,,
2955170,2745550,link,https://en.wikipedia.org/wiki/Vierlingsbeek,,,,,,,
8554710,2745550,link,https://nl.wikipedia.org/wiki/Vierlingsbeek,,,,,,,
8554711,2745550,nl,Beek,,,,1,,,
8554712,2745550,nl,Beke,,,,1,,,
8554713,2745550,nl,Vierlincsbeec,,,,1,,,
10929367,2745550,nl,Vierlingsbeek,1,,,,,,
13438539,2745550,post,5821,,,,,,,
13790521,2745550,unlc,NLVIE,,,,,,,
14938899,2745550,wkdt,Q608813,,,,,,,
2955171,2745572,link,https://en.wikipedia.org/wiki/Vierbannen,,,,,,,
14939282,2745572,wkdt,Q7928405,,,,,,,
18213129,2745572,pt,Vierbannen,,,,,,,
18213130,2745572,en,Vierbannen,,,,,,,
18213131,2745572,,Vierbannen,,,,,,,
18213132,2745572,nl,Vierbannen,,,,,,,
8555546,2745581,link,https://nl.wikipedia.org/wiki/Vianen_(Noord-Brabant),,,,,,,
13437928,2745581,,Vianen NB,,,,,,,
13438546,2745581,post,5434,,,,,,,
2955174,2745589,link,https://en.wikipedia.org/wiki/Vessem,,,,,,,
13438549,2745589,post,5512,,,,,,,
13790559,2745589,unlc,NLVSM,,,,,,,
15694422,2745589,wkdt,Q1908841,,,,,,,
1244537,2745596,,Verrebest,,,,,,,
1244538,2745598,,Varenhout,,,,,,,
11288042,2745646,link,https://en.wikipedia.org/wiki/Venhorst,,,,,,,
13438570,2745646,post,5428,,,,,,,
13790517,2745646,unlc,NLVHR,,,,,,,
14939487,2745646,wkdt,Q3555509,,,,,,,
7076882,2745657,link,https://en.wikipedia.org/wiki/Ven%2C_Heeze-Leende,,,,,,,
7146907,2745678,link,https://en.wikipedia.org/wiki/Velp%2C_North_Brabant,,,,,,,
8554787,2745678,link,https://nl.wikipedia.org/wiki/Velp_(Noord-Brabant),,,,,,,
8554789,2745678,nl,Fellepa,,,,1,,,
13438577,2745678,post,5363,,,,,,,
8490453,2745704,,Gemeente Veldhoven,,,,,,,Preferred name
8490454,2745704,,Veldhoven,,,,,,,
8612857,2745704,link,https://en.wikipedia.org/wiki/Veldhoven,,,,,,,
10840847,2745704,nl,Veldhoven,,1,,,,,
17539326,2745704,en,Veldhoven Municipality,,,,,,,
5702472,2745706,link,https://en.wikipedia.org/wiki/Veldhoven,,,,,,,
13438578,2745706,post,5501,,,,,,,
13438579,2745706,post,5502,,,,,,,
13438580,2745706,post,5503,,,,,,,
13438581,2745706,post,5504,,,,,,,
13438582,2745706,post,5505,,,,,,,
13438583,2745706,post,5506,,,,,,,
13438584,2745706,post,5507,,,,,,,
13438585,2745706,post,5508,,,,,,,
13438586,2745706,post,5509,,,,,,,
13790501,2745706,unlc,NLVDH,,,,,,,
15720124,2745706,wkdt,Q33511501,,,,,,,
1244567,2745715,,Veldersbosch,,,,,,,
4123984,2745715,,Veldersbos,,,,,,,
8490455,2745725,,Gemeente Veghel,,,,,,,
8490456,2745725,,Veghel,,,,,,,
8612858,2745725,link,https://en.wikipedia.org/wiki/Veghel,,,,,,,
10840846,2745725,nl,Veghel,,1,,,,,
1244569,2745726,,Vechel,,,,,,,
1930955,2745726,en,Veghel,,,,,,,
1930956,2745726,es,Veghel,,,,,,,
1930957,2745726,fr,Veghel,,,,,,,
1930958,2745726,de,Veghel,,,,,,,
1930959,2745726,id,Veghel,,,,,,,
1930960,2745726,it,Veghel,,,,,,,
1930961,2745726,li,Veghel,,,,,,,
1930962,2745726,nl,Veghel,,,,,,,
1930963,2745726,sv,Veghel,,,,,,,
2955183,2745726,link,https://en.wikipedia.org/wiki/Veghel,,,,,,,
3041474,2745726,ru,Вегел,,,,,,,
8304150,2745726,hy,Վեխել,,,,,,,
13438589,2745726,post,5461,,,,,,,
13438590,2745726,post,5462,,,,,,,
13438591,2745726,post,5463,,,,,,,
13438592,2745726,post,5464,,,,,,,
13438593,2745726,post,5465,,,,,,,
13438594,2745726,post,5466,,,,,,,
13438595,2745726,post,5467,,,,,,,
13790506,2745726,unlc,NLVEG,,,,,,,
15815571,2745726,wkdt,Q12557060,,,,,,,
18213144,2745726,ceb,Veghel,,,,,,,
18213145,2745726,ast,Veghel,,,,,,,
18213146,2745726,ko,페헐,,,,,,,
18213147,2745726,lt,Vegelis,,,,,,,
18213148,2745726,zh,費赫爾,,,,,,,
18213149,2745726,lb,Veghel,,,,,,,
18213150,2745726,ja,フェヘル,,,,,,,
18213151,2745726,zea,Veghel,,,,,,,
18213152,2745726,,Veghel,,,,,,,
18213153,2745726,fa,وگل,,,,,,,
18213154,2745726,da,Veghel,,,,,,,
18213155,2745726,ca,Veghel,,,,,,,
7187009,2745784,link,https://en.wikipedia.org/wiki/Veen%2C_Netherlands,,,,,,,
13438616,2745784,post,4264,,,,,,,
13790020,2745784,unlc,NLNEV,,,,,,,
15209466,2745784,wkdt,Q3128465,,,,,,,
14939540,2745806,wkdt,Q2541217,,,,,,,
15926140,2745806,,Varkenshoek,,,,,,,
8490459,2745859,,Gemeente Valkenswaard,,,,,,,
8490460,2745859,,Valkenswaard,,,,,,,
8612859,2745859,link,https://en.wikipedia.org/wiki/Valkenswaard,,,,,,,
10840845,2745859,nl,Valkenswaard,,1,,,,,
17539327,2745859,en,Valkenswaard Municipality,,,,,,,
1931454,2745860,en,Valkenswaard,,,,,,,
1931455,2745860,fr,Valkenswaard,,,,,,,
1931456,2745860,de,Valkenswaard,,,,,,,
1931457,2745860,id,Valkenswaard,,,,,,,
1931458,2745860,it,Valkenswaard,,,,,,,
1931459,2745860,li,Valkeswaerd,,,,,,,
1931460,2745860,nl,Valkenswaard,,,,,,,
1931461,2745860,pt,Valkenswaard,,,,,,,
1931462,2745860,sv,Valkenswaard,,,,,,,
2955203,2745860,link,https://en.wikipedia.org/wiki/Valkenswaard,,,,,,,
13438624,2745860,post,5551,,,,,,,
13438625,2745860,post,5552,,,,,,,
13438626,2745860,post,5553,,,,,,,
13438627,2745860,post,5554,,,,,,,
13438628,2745860,post,5555,,,,,,,
13438629,2745860,post,5556,,,,,,,
13790497,2745860,unlc,NLVAL,,,,,,,
15883590,2745860,wkdt,Q1869375,,,,,,,
1244617,2745871,,Het Valkenberg,,,,,,,
4123999,2745871,,Valkenburg,,,,,,,
1244618,2745873,,Valkenberg,,,,,,,
1244625,2745899,,Vaarse Hoeve,,,,,,,
1244626,2745899,,Vaarsche-Hoeve,,,,,,,
2955216,2745940,link,https://en.wikipedia.org/wiki/Ulvenhout,,,,,,,
4124006,2745940,,Ulvenhout,,,,,,,
13438685,2745940,post,4851,,,,,,,
13790004,2745940,unlc,NLNBV,,,,,,,
14939706,2745940,wkdt,Q2232725,,,,,,,
1244638,2745945,,Ullingsche Bergen,,,,,,,
1244639,2745945,,Ullingensche Bergen,,,,,,,
4124007,2745945,,Ullingse-Bergen,,,,,,,
1244640,2745946,,Ullinger,,,,,,,
1244642,2745949,,Ulekoten,,,,,,,
2955218,2745949,link,https://en.wikipedia.org/wiki/Ulicoten,,,,,,,
13438687,2745949,post,5113,,,,,,,
13790477,2745949,unlc,NLUCT,,,,,,,
15641786,2745949,wkdt,Q2322937,,,,,,,
1244643,2745951,,Ulicootse Heide,,,,,,,
4124009,2745951,,Ulicootsche Heide,,,,,,,
13438690,2745957,post,4288,,,,,,,
2955230,2746003,link,https://en.wikipedia.org/wiki/Udenhout,,,,,,,
13438701,2746003,post,5071,,,,,,,
13790479,2746003,unlc,NLUDH,,,,,,,
15376792,2746003,wkdt,Q3030229,,,,,,,
8612860,2746004,link,https://en.wikipedia.org/wiki/Uden,,,,,,,
10840844,2746004,nl,Uden,,1,,,,,
1931436,2746005,en,Uden,,,,,,,
1931437,2746005,de,Uden,,,,,,,
1931438,2746005,es,Uden,,,,,,,
1931439,2746005,fr,Uden,,,,,,,
1931440,2746005,id,Uden,,,,,,,
1931441,2746005,it,Uden,,,,,,,
1931442,2746005,li,Uden,,,,,,,
1931443,2746005,nl,Uden,,,,,,,
1931444,2746005,sv,Uden,,,,,,,
3041476,2746005,ru,Уден,,,,,,,
7486795,2746005,iata,UDE,,,,,,,
13438702,2746005,post,5401,,,,,,,
13438703,2746005,post,5402,,,,,,,
13438704,2746005,post,5403,,,,,,,Preferred name
13438705,2746005,post,5404,,,,,,,
13438706,2746005,post,5405,,,,,,,
13438707,2746005,post,5406,,,,,,,
13790478,2746005,unlc,NLUDE,,,,,,,
15859916,2746005,wkdt,Q528819,,,,,,,
1244660,2746029,,Het Zand,,,,,,,
1244661,2746029,,Zand,,,,,,,
4124018,2746029,,’t Zand,,,,,,,
1244663,2746034,,Zand,,,,,,,
7081089,2746034,link,https://en.wikipedia.org/wiki/%27t_Zand%2C_Werkendam,,,,,,,
8554741,2746095,link,https://nl.wikipedia.org/wiki/Tuuthees,,,,,,,
1244704,2746104,,Turnhoutsche Heide,,,,,,,Short name
4124023,2746104,,Turnhoutse Heide,,,,,,,
1244707,2746109,,Bijloop,,,,,,,
1244708,2746109,,Turfvaart,,,,,,,
4124024,2746109,,Turfvaart Bijloop,,,,,,,
1244725,2746164,,Trentsche Bossen,,,,,,,
4124032,2746164,,Trentsebossen,,,,,,,
8552865,2746165,link,https://nl.wikipedia.org/wiki/Trent_(Noord-Brabant),,,,,,,
15810820,2746165,wkdt,Q2361809,,,,,,,
14939195,2746197,wkdt,Q31210387,,,,,,,
15926148,2746197,,Tooverberg,,,,,,,
7080055,2746199,link,https://en.wikipedia.org/wiki/Toom%2C_Netherlands,,,,,,,
1244736,2746203,,Tonnelkreek,,,,,,,
1244737,2746203,,Tonnenkreek,,,,,,,
2955253,2746215,link,https://en.wikipedia.org/wiki/Tongelre,,,,,,,
4124036,2746215,,Tongelre,,,,,,,
1244742,2746220,,Tommelsche Heide,,,,,,,
4124038,2746220,,Tommelse Heide,,,,,,,
14939770,2746291,wkdt,Q2157524,,,,,,,
8490466,2746300,,Gemeente Tilburg,,,,,,,
8490467,2746300,,Tilburg,,,,,,,
8612861,2746300,link,https://en.wikipedia.org/wiki/Tilburg,,,,,,,
10840843,2746300,nl,Tilburg,,1,,,,,
17539328,2746300,en,Tilburg Municipality,,,,,,,
1640601,2746301,en,Tilburg,,,,,,,
1640602,2746301,pl,Tilburg,,,,,,,
1640603,2746301,es,Tilburgo,,,,,,,
1640604,2746301,de,Tilburg,,,,,,,
1640605,2746301,da,Tilburg,,,,,,,
1640606,2746301,fi,Tilburg,,,,,,,
1640607,2746301,id,Tilburg,,,,,,,
1640608,2746301,it,Tilburg,,,,,,,
